midtest,finaltest,attendance,avggrade,percentgrade,counselnum,extralecture,scalarship,scolarregister
28,36,29,4.2,94,2,2,2561460,2
28,37,30,4.3,94,2,3,3921000,2
28,36,29,4.1,94,2,3,3325000,2
28,37,28,4.3,94,6,4,251460,2
27,37,30,4.3,94,3,2,3921000,2
28,37,29,4.2,94,1,3,3921000,2
27,37,29,4.2,94,1,1,3921000,2
27,36,28,4.1,94,1,2,251460,2
28,36,29,4.3,94,1,2,251460,2
28,37,29,4.3,94,2,3,2561460,2
27,39,28,4.1,94,2,2,251460,2
27,38,29,4.1,94,1,3,251460,2
27,38,29,4.2,94,2,3,251460,2
27,37,29,4.1,94,2,4,3325000,2
27,35,29,4.2,94,2,1,3325000,2
27,36,29,4.1,94,2,5,251460,2
25,37,29,4.1,94,2,2,3325000,2
29,37,29,4.1,94,2,1,3325000,2
26,37,30,4.3,94,2,1,251460,2
29,36,30,4.2,94,2,1,3325000,2
29,37,30,4.2,94,0,1,2971460,2
28,38,29,4.2,94,1,1,2771460,2
28,38,30,4.3,94,1,1,1882460,2
28,37,30,4.3,94,0,2,958960,2
28,37,30,4.2,94,1,2,1521460,2
28,37,30,4.3,94,1,2,958960,2
28,37,30,4.2,94,1,3,251460,2
27,36,29,4.2,94,1,2,251460,2
28,32,29,4.3,94,1,1,3921000,2
27,37,30,4.3,94,1,1,251460,2
29,36,30,4.2,94,1,1,251460,2
28,36,30,4.2,94,1,2,0,2
27,38,30,4.2,94,1,2,2744460,2
26,37,30,4.3,94,1,4,3325000,2
27,37,29,4.3,94,0,5,1251460,2
28,37,30,4.3,94,2,2,251460,2
28,36,29,4.3,94,1,4,551460,2
28,35,29,4.3,94,2,2,958960,2
28,36,30,4.1,94,1,1,3512460,2
28,36,30,4.3,94,1,1,501460,2
28,37,29,4.2,94,2,0,3427000,1
28,36,29,4.3,94,3,0,4023000,1
28,37,30,4.3,94,0,0,0,1
26,37,29,4.2,94,1,0,0,1
28,37,30,4.2,94,1,1,0,1
28,36,29,4.3,94,2,2,251460,1
29,37,28,4.3,94,1,0,2665000,1
26,37,29,4.2,94,1,0,0,1
27,34,30,4.2,94,1,6,2251000,1
27,36,29,4.1,94,0,3,251000,1
26,34,30,4.2,94,1,4,251000,1
28,34,30,4.1,94,0,5,3512000,1
28,35,30,4.2,94,1,6,2461460,1
28,35,29,4.2,94,1,7,251460,1
27,36,29,4.2,94,1,3,3615000,1
26,35,29,4.1,94,3,8,3019000,1
28,36,29,4.3,94,1,12,251460,1
26,36,30,4.3,94,1,9,2771460,1
26,38,30,4.3,94,1,5,2461460,1
26,38,30,4.4,94,1,10,1218960,1
27,37,30,4.1,94,1,2,3121000,1
26,37,30,4.1,94,1,2,3717000,1
28,35,30,4.1,94,1,2,251460,1
28,37,30,4.2,94,2,2,2411460,1
27,37,30,4,94,1,1,828960,1
29,37,30,4.2,94,1,6,251460,1
28,32,29,4.1,94,1,2,251460,1
28,35,30,4.1,94,1,2,1611500,1
26,37,30,4,94,1,3,251460,1
28,35,30,4.1,94,1,3,2617460,1
28,36,30,4.2,94,3,3,3819000,1
27,37,30,4.2,93,4,6,251460,2
27,36,29,4.2,93,1,1,3325000,2
26,38,29,4.2,93,1,1,3325000,2
27,37,30,4.2,93,1,1,3325000,2
28,35,30,4.1,93,4,4,958960,2
28,33,30,4.2,93,3,2,3325000,2
29,34,30,4.2,93,1,1,251460,2
27,36,29,4.1,93,3,3,251460,2
26,37,30,4.1,93,1,3,3738000,2
25,38,30,4.1,93,1,5,3738000,2
28,36,29,4.1,93,3,2,1662460,2
27,35,29,4.2,93,3,1,3325000,2
28,34,29,4.1,93,5,5,2771460,2
28,36,30,4.2,93,1,3,3611460,2
28,36,30,4.2,93,1,3,551460,2
27,37,29,4.1,93,1,1,251460,2
27,35,29,4.2,93,2,1,2971460,2
28,36,29,3.9,93,2,2,3921000,2
26,36,29,4.1,93,1,3,251460,2
27,31,29,4.1,93,1,2,2921460,2
28,33,30,4.1,93,1,4,2771460,2
26,34,29,4,93,1,4,251460,2
28,35,28,4.3,93,1,2,551460,2
27,38,29,4.3,93,1,1,251460,2
28,37,28,4,93,2,2,3921000,2
27,33,29,4.2,93,2,1,3921000,2
27,36,29,4.2,93,1,2,251460,2
26,38,26,4.1,93,1,1,0,2
27,35,29,4.2,93,5,2,2916460,2
28,36,28,4.2,93,1,3,551460,2
27,38,28,4,93,1,2,3921000,2
27,36,30,4,93,1,2,251460,2
28,36,29,4,93,0,2,2744460,2
27,37,29,4.1,93,1,2,1960460,2
27,38,30,4,93,1,1,3921000,2
27,37,29,4.1,93,2,2,251460,2
26,37,30,4.1,93,2,2,3512460,2
26,35,29,4.1,93,1,3,958960,2
27,36,29,4.1,93,3,5,3325000,2
26,37,29,4.1,93,2,3,2561460,2
27,37,29,4.1,93,2,5,3325000,2
28,34,30,4,93,2,2,251460,2
28,34,29,4.2,93,2,2,251460,2
29,35,29,3.9,93,2,2,251460,2
28,36,29,4,93,2,2,2771460,2
28,35,30,4.1,93,2,1,251460,2
28,37,30,4.1,93,1,2,3921000,2
27,37,30,4.2,93,0,3,251460,2
29,36,30,4.1,93,2,2,551460,2
28,37,29,4.1,93,1,2,3921000,2
28,37,29,4.1,93,1,2,251460,2
27,37,29,4.1,93,1,2,2561460,2
29,34,30,4.1,93,1,2,3921000,2
28,36,30,4,93,1,2,251460,2
26,38,29,4.2,93,1,1,251460,2
27,36,30,4.2,93,1,1,2871460,2
27,37,30,4.1,93,1,3,251460,2
26,37,29,4.1,93,1,2,1662460,2
27,37,30,4.2,93,1,2,251460,2
27,37,30,4.2,93,1,4,251460,2
28,35,29,4.2,93,1,6,501460,2
28,36,29,4.2,93,2,3,3325000,2
26,37,29,4.2,93,2,2,251460,2
28,35,30,4,93,1,1,2771460,2
28,35,30,4.1,93,2,1,251460,2
27,36,30,4.1,93,1,1,251460,2
27,38,30,4.1,93,1,4,3921000,2
28,36,30,4,93,2,2,0,1
27,37,29,4.1,93,1,2,2588000,1
29,35,29,4.2,93,1,1,251460,1
27,37,29,4.1,93,1,1,1960460,1
27,37,27,4.2,93,2,0,0,1
27,36,29,4.1,93,3,0,879000,1
26,36,30,4.1,93,1,0,3427000,1
27,37,29,4.2,93,0,0,544000,1
29,35,29,4.2,93,1,1,251460,1
29,35,29,4.1,93,3,0,2080000,1
27,37,29,4.2,93,1,0,787500,1
27,36,29,4.1,93,3,0,879000,1
28,35,29,4.2,93,3,0,0,1
26,36,30,4.1,93,1,0,3427000,1
26,34,29,4.2,93,1,4,251000,1
26,33,30,4.1,93,1,5,251000,1
28,38,29,4.2,93,1,6,251000,1
28,37,29,4,93,1,5,251000,1
27,34,29,4,93,1,4,251000,1
26,36,30,4.1,93,1,6,551000,1
27,30,30,4.1,93,1,5,2291000,1
27,36,30,4.2,93,1,5,3271000,1
28,36,30,4,93,1,11,3615000,1
27,35,30,4.2,93,1,7,3019000,1
29,37,29,4,93,2,5,2671460,1
25,37,30,4,93,1,5,251460,1
26,36,30,4,93,2,5,251460,1
28,36,30,4,93,2,4,251460,1
25,34,30,4.2,93,2,7,3019000,1
27,34,30,4,93,1,2,251460,1
26,37,30,4,93,0,2,3121000,1
27,37,30,4,93,1,2,2741460,1
29,37,30,4,93,2,3,2861460,1
28,34,30,4.1,93,2,2,251460,1
27,34,30,4,93,1,2,3121000,1
24,36,29,4.1,93,1,3,251460,1
28,34,30,3.9,92,3,5,958960,2
25,37,30,4.1,92,5,6,251460,2
27,35,29,4.1,92,1,1,3325000,2
25,36,29,4,92,1,1,3325000,2
26,37,30,4.1,92,1,2,3325000,2
26,35,30,4.1,92,4,1,2561460,2
28,36,29,4,92,2,3,3921000,2
27,35,30,4,92,3,2,3921000,2
27,35,30,4,92,1,1,1868460,2
26,36,30,4.1,92,1,6,251460,2
27,36,29,4,92,3,2,958960,2
27,38,29,4.2,92,6,3,3325000,2
27,35,29,4,92,7,3,958960,2
27,36,30,4.1,92,1,1,251460,2
28,35,29,3.9,92,1,2,251460,2
29,34,27,3.8,92,1,2,4188000,2
26,36,29,4,92,1,1,3921000,2
27,34,29,4,92,1,5,251460,2
27,37,29,4.1,92,1,3,251460,2
26,37,29,4,92,1,4,3921000,2
27,37,27,4.1,92,1,1,1960460,2
29,35,28,4.1,92,1,2,2771460,2
27,36,27,4.1,92,2,6,2125000,2
26,35,29,4.1,92,6,2,3325000,2
28,35,29,3.9,92,1,2,551460,2
27,36,30,3.9,92,1,2,251460,2
26,36,30,4,92,1,1,3921000,2
27,36,28,3.9,92,1,2,2561460,2
26,36,29,4.1,92,3,4,251460,2
26,36,29,4,92,2,2,3325000,2
25,37,29,4.1,92,2,4,2916460,2
26,36,30,4,92,1,1,2916460,2
26,31,25,3.9,92,2,1,251460,2
29,35,29,3.9,92,2,1,2251460,2
28,33,29,4,92,2,1,2287460,2
26,36,30,4.1,92,1,4,3271460,2
27,36,30,4,92,1,2,3921000,2
27,35,30,4,92,1,2,1960460,2
26,36,30,4.1,92,1,2,251460,2
27,37,29,3.9,92,1,2,3921000,2
27,36,29,3.9,92,1,2,2561460,2
25,36,29,4.1,92,1,2,3325000,2
27,37,29,4.1,92,1,1,3325000,2
27,36,29,3.9,92,1,2,3325000,2
27,35,28,4,92,2,2,251460,2
29,34,29,4,92,1,1,3375960,2
29,33,30,4.1,92,0,2,2561460,2
28,35,30,4,92,1,2,1327460,2
27,36,30,4.1,92,1,7,1208960,2
26,36,29,4.2,92,1,1,3325000,2
27,35,29,4.1,92,2,2,3325000,2
26,36,30,4,92,1,3,3325000,2
27,36,29,4,92,1,4,501460,2
27,37,27,4,92,7,4,251460,2
28,36,29,4.1,92,1,3,1662460,2
27,37,29,4.2,92,1,2,251460,2
28,36,29,4,92,1,2,3325000,2
28,36,28,4.1,92,1,2,3246460,2
27,36,28,4,92,2,2,2287460,2
26,36,30,4.1,92,5,2,251460,2
28,34,29,4,92,1,1,958960,2
28,35,30,3.9,92,1,1,3921000,2
28,35,30,4,92,2,2,251460,2
28,35,30,4,92,1,1,3921000,2
27,38,29,4,92,1,2,2971460,2
27,37,29,4.1,92,1,2,251460,2
29,36,27,4,92,3,3,3921000,1
26,36,29,3.9,92,1,3,251460,1
26,37,29,4,92,2,0,0,1
27,37,28,4.1,92,2,0,3261000,1
28,35,29,3.9,92,1,0,0,1
26,35,29,4,92,2,0,3427000,1
28,33,29,4,92,2,0,1240000,1
28,35,29,4,92,1,0,1613500,1
27,36,29,4.1,92,1,0,2665000,1
27,35,30,4.1,92,1,0,0,1
28,36,28,4,92,0,0,0,1
27,36,29,4,92,0,0,0,1
27,36,30,4.1,92,0,0,0,1
28,36,29,3.9,92,1,2,251460,1
27,37,28,4.1,92,2,0,3261000,1
27,35,29,4,92,0,0,0,1
28,36,28,4.1,92,1,0,3427000,1
27,36,29,4.1,92,1,0,1150000,1
28,34,30,4,92,2,0,4023000,1
27,36,29,4,92,0,0,588000,1
27,36,29,3.9,92,1,5,3512000,1
26,34,30,3.8,92,1,6,2571000,1
23,35,26,4,92,2,5,2611000,1
27,37,30,3.9,92,0,4,3512000,1
27,36,30,3.9,92,1,6,3512000,1
28,37,29,3.9,92,1,3,251000,1
27,36,28,4.1,92,1,4,251000,1
26,34,30,3.9,92,1,7,251000,1
25,34,30,3.9,92,2,7,251000,1
28,36,30,4,92,1,9,251460,1
28,33,30,4,92,1,7,551460,1
27,36,29,4.1,92,1,3,3882000,1
27,36,30,4,92,1,5,251460,1
27,36,29,3.9,92,2,6,3615000,1
23,36,30,3.9,92,1,3,251460,1
27,35,30,4,92,2,6,251460,1
28,36,30,4,92,0,3,251460,1
