midtest,finaltest,attendance,avggrade,percentgrade,counselnum,extralecture,scalarship,scolarregister
27,36,29,3.7,90,1,3,251460,2
27,35,28,3.8,90,1,2,3325000,2
26,33,29,3.9,90,2,4,3325000,2
28,35,26,3.9,90,1,1,3325000,2
24,34,29,3.8,90,2,2,2916460,2
26,36,29,3.9,90,1,2,3921000,2
27,34,30,4,90,1,2,3921000,2
27,33,30,3.9,90,1,2,251460,2
27,34,30,4,90,1,3,251460,2
27,33,30,3.9,90,1,2,251460,2
28,33,30,3.9,90,2,2,3921000,2
27,35,30,3.8,90,1,2,3921000,2
26,36,29,3.6,90,1,2,2561460,2
28,34,30,3.8,90,1,2,3921000,2
26,35,30,3.8,90,2,5,2921460,2
27,35,30,3.9,90,1,2,2971460,2
26,35,30,3.6,90,2,3,251460,2
25,33,30,3.8,90,1,2,2916460,2
26,34,30,3.8,90,1,4,3325000,2
23,32,26,3.9,90,1,1,2771460,2
27,35,30,3.9,90,1,1,3325000,2
26,35,29,3.9,90,1,1,251460,2
26,36,28,3.7,90,0,2,251460,2
27,35,29,3.8,90,1,3,3325000,2
27,34,29,3.7,90,1,2,251460,2
26,36,28,3.9,90,1,3,958960,2
27,35,29,3.8,90,1,3,501460,2
26,35,29,3.8,90,1,2,251460,2
27,35,29,3.9,90,7,2,1584460,2
27,36,28,3.9,90,1,2,251460,2
27,35,29,3.8,90,1,3,251460,2
27,35,28,3.8,90,2,5,2916460,2
27,35,28,4,90,3,5,251460,2
26,36,29,3.9,90,1,2,3325000,2
27,35,29,4,90,1,4,3325000,2
26,34,28,3.9,90,3,5,3325000,2
27,34,27,3.8,90,2,2,3325000,2
28,33,27,3.8,90,2,2,1130460,2
27,33,30,3.7,90,1,1,958960,2
26,34,30,3.8,90,1,1,2561460,2
26,35,29,3.8,90,1,1,958960,2
26,37,29,3.8,90,7,1,1882460,2
27,36,28,3.8,90,1,4,2811460,2
26,37,28,3.8,90,1,1,3921000,2
27,32,30,3.9,90,1,2,1317460,1
26,36,28,3.7,90,3,1,3021460,1
25,36,28,3.8,90,2,0,3325000,1
27,33,30,3.8,90,1,1,4188000,1
27,35,28,3.7,90,8,2,2744460,1
24,36,30,3.8,90,3,6,251460,1
23,34,29,3.9,90,1,1,0,1
25,37,30,3.9,90,1,1,1960460,1
27,34,29,3.7,90,2,0,787500,1
26,34,28,3.9,90,2,0,4023000,1
24,37,29,3.8,90,1,0,1440000,1
27,34,30,3.9,90,0,0,0,1
24,35,29,3.8,90,2,0,1100000,1
27,32,28,3.8,90,1,0,2130000,1
27,34,30,3.9,90,1,0,0,1
28,33,29,3.8,90,2,0,0,1
27,36,27,3.8,90,1,0,2300000,1
27,35,28,3.8,90,3,0,0,1
26,36,28,3.8,90,3,0,0,1
26,35,29,3.8,90,0,0,0,1
26,34,29,3.8,90,0,0,0,1
27,32,30,3.9,90,1,2,1317460,1
26,36,28,3.7,90,3,1,3021460,1
23,29,26,3.9,90,1,1,0,1
27,34,29,3.9,90,3,3,2871460,1
27,35,28,3.7,90,8,2,2744460,1
24,36,30,3.8,90,3,6,251460,1
27,35,29,3.9,90,1,1,251460,1
24,29,26,3.7,90,2,0,1150000,1
24,37,29,3.8,90,1,0,1440000,1
26,36,29,3.8,90,1,0,0,1
26,35,29,3.8,90,1,0,1440000,1
27,34,30,3.9,90,1,0,0,1
26,33,30,3.8,90,1,0,0,1
24,36,30,3.7,90,2,7,251000,1
24,34,30,3.9,90,1,5,251000,1
27,33,30,3.8,90,2,3,2916000,1
25,35,29,3.7,90,3,5,251000,1
24,30,30,3.8,90,1,4,251000,1
24,31,30,3.8,90,1,5,2207600,1
22,29,27,3.7,90,3,3,2751000,1
27,34,29,3.7,90,3,4,2531000,1
27,35,28,3.7,90,2,3,1327130,1
27,35,29,3.7,90,2,6,3512000,1
26,32,30,3.6,90,1,4,3512000,1
20,26,28,3.8,90,2,5,251000,1
25,35,30,3.9,90,1,6,2671460,1
28,33,29,3.9,90,0,3,3019000,1
27,32,30,3.8,90,1,6,251460,1
28,32,29,3.8,90,1,5,251460,1
27,34,30,3.8,90,2,3,2871460,1
27,31,30,3.8,90,1,3,251460,1
27,36,28,3.9,90,1,5,251460,1
23,38,30,3.8,90,0,7,3615000,1
28,36,29,3.8,90,1,3,251460,1
28,35,30,3.7,90,1,2,251460,1
28,34,30,3.8,90,1,6,251460,1
25,34,29,3.7,90,1,2,251460,1
27,34,29,3.7,90,1,1,251460,1
26,32,29,3.9,90,2,3,3121000,1
27,33,30,3.8,90,1,2,3717000,1
29,33,29,3.9,90,1,3,251460,1
28,35,30,3.9,90,5,3,3121000,1
27,34,30,3.8,90,2,2,3717000,1
27,33,30,3.8,90,1,2,251460,1
24,36,29,3.7,90,2,2,1850460,1
26,35,29,3.9,90,1,2,251460,1
27,34,29,3.8,90,2,2,251460,1
28,33,30,3.8,90,2,2,251460,1
28,34,29,3.8,90,1,2,251460,1
26,33,29,3.6,90,1,2,3717000,1
26,31,29,3.7,90,1,2,251460,1
25,33,29,3.6,90,3,2,3717000,1
26,34,29,3.8,90,2,1,251460,1
25,35,30,3.7,90,2,2,251460,1
26,36,29,3.7,90,1,1,828960,1
25,32,29,3.8,90,1,3,3223000,1
27,33,30,3.8,90,1,3,3636000,1
24,35,29,3.7,90,1,3,2761460,1
24,31,28,3.9,90,1,4,251460,1
21,29,26,3.9,90,2,4,3223000,1
25,31,30,3.7,90,1,2,251460,1
26,34,30,3.7,89,3,5,251460,2
25,34,28,3.7,89,1,1,2916460,2
26,35,29,3.9,89,1,2,251460,2
25,35,29,3.7,89,1,1,3325000,2
25,34,29,3.8,89,1,4,1130460,2
25,35,29,3.9,89,3,2,251460,2
27,34,30,3.8,89,2,2,251460,2
25,35,30,3.8,89,3,3,251460,2
27,34,29,3.8,89,1,1,3325000,2
27,35,28,3.7,89,2,3,3421000,2
27,35,28,3.7,89,1,2,3921000,2
26,35,30,3.6,89,3,4,3921000,2
26,33,29,3.7,89,1,2,251460,2
24,36,30,3.7,89,1,4,2871460,2
27,32,29,3.8,89,5,4,251460,2
26,36,29,3.6,89,1,1,4188000,2
27,34,29,3.6,89,1,2,251460,2
28,34,28,3.8,89,1,2,4188000,2
26,34,29,3.7,89,3,2,3921000,2
26,34,29,3.7,89,2,2,3921000,2
25,36,29,3.7,89,2,2,251460,2
25,35,29,3.7,89,2,3,251460,2
25,35,29,3.6,89,2,3,3921000,2
26,34,30,3.7,89,1,1,1960460,2
25,32,29,3.7,89,1,3,501460,2
27,35,29,3.8,89,2,5,3921000,2
25,34,28,3.7,89,1,3,251460,2
26,34,29,3.7,89,1,6,251460,2
26,33,29,3.7,89,1,4,251460,2
27,33,28,3.7,89,1,1,2744460,2
26,34,29,3.8,89,1,5,251460,2
25,31,24,3.8,89,1,1,2771460,2
28,34,26,3.7,89,3,4,251460,2
28,34,26,3.8,89,1,6,251460,2
25,35,28,3.6,89,1,2,1960460,2
25,36,28,3.5,89,1,1,251460,2
26,34,29,3.7,89,1,3,2034960,2
26,34,30,3.6,89,2,1,251460,2
26,34,29,3.7,89,1,2,251460,2
25,37,27,3.7,89,1,2,251460,2
26,34,29,3.7,89,1,3,251460,2
23,35,29,3.7,89,1,3,1662460,2
23,34,29,3.6,89,1,3,2916460,2
24,35,29,3.6,89,2,4,251460,2
24,36,29,3.6,89,1,4,2561460,2
25,36,28,3.7,89,2,3,3325000,2
27,32,29,3.6,89,2,3,251460,2
26,35,28,3.7,89,2,2,251460,2
25,33,29,3.6,89,2,1,251460,2
27,32,29,3.7,89,2,2,958960,2
26,33,29,3.6,89,2,2,3325000,2
26,36,27,3.7,89,0,2,1882460,2
28,33,30,3.7,89,1,2,251460,2
26,36,29,3.7,89,1,2,251460,2
25,37,29,3.8,89,1,2,251460,2
27,35,29,3.8,89,1,1,501460,2
27,33,30,3.7,89,0,1,251460,2
25,34,30,3.6,89,1,2,3921000,2
24,36,29,3.9,89,1,2,2561460,2
26,34,28,3.7,89,1,1,2347460,2
26,35,30,3.8,89,1,2,251460,2
26,35,28,3.6,89,1,2,1960460,2
27,35,29,3.7,89,1,3,251460,2
26,35,28,3.7,89,1,3,0,2
26,37,29,3.7,89,1,3,251460,2
25,35,28,3.7,89,1,2,251460,2
25,34,28,3.8,89,1,3,251460,2
24,35,29,3.7,89,2,2,1130460,2
29,31,29,3.7,89,1,1,1960460,2
28,33,29,3.8,89,0,2,251460,2
26,33,29,3.7,89,0,2,3921000,2
26,34,30,3.7,89,0,1,251460,2
25,36,30,3.7,89,1,1,1327460,2
26,35,30,3.8,89,2,2,958960,2
27,34,30,3.6,89,1,2,958960,2
27,34,29,3.7,89,1,2,501460,2
28,34,29,3.7,89,1,2,2561460,2
26,35,29,3.6,89,1,3,251460,2
27,34,29,3.7,89,1,2,251460,2
25,36,28,3.7,89,1,1,2871460,2
25,34,29,3.8,89,1,1,251460,2
24,36,30,3.8,89,1,1,251460,2
26,34,29,3.8,89,1,1,251460,2
25,35,29,3.7,89,1,5,3325000,2
27,34,29,3.7,89,0,6,1662460,2
26,36,29,3.8,89,6,5,251460,2
27,34,30,3.7,89,1,5,2771460,2
26,35,28,3.7,89,2,2,251460,2
27,35,28,3.8,89,3,6,251460,2
27,34,29,3.8,89,1,4,3325000,2
26,31,29,3.6,89,2,3,251460,2
26,33,29,3.7,89,1,2,3921000,2
25,35,29,3.8,89,1,1,2871460,2
26,34,29,3.7,89,1,1,2811460,2
26,34,29,3.7,89,1,1,3921000,2
26,32,30,3.7,89,1,1,1960460,2
26,37,29,3.8,89,1,3,1960460,2
27,35,29,3.7,89,1,1,251460,2
26,37,28,3.7,89,1,3,3921000,2
27,37,28,3.6,89,1,2,551460,2
27,38,28,3.7,89,1,5,251460,2
26,34,30,3.7,89,1,2,0,1
27,33,28,3.7,89,5,1,2871460,1
26,36,27,3.7,89,2,1,3921000,1
28,37,26,3.6,89,1,4,2811460,1
26,34,30,3.8,89,1,0,3840000,1
26,33,28,3.6,89,1,0,0,1
23,36,30,3.7,89,2,0,0,1
27,33,28,3.7,89,1,0,0,1
24,36,29,3.6,89,3,0,3427000,1
27,33,29,3.8,89,2,0,737500,1
26,34,26,3.7,89,1,0,3427000,1
26,36,29,3.8,89,1,0,0,1
25,35,30,3.8,89,1,0,2468000,1
26,35,29,3.8,89,1,0,537500,1
28,31,29,3.7,89,0,0,0,1
26,35,29,3.8,89,0,0,0,1
26,35,29,3.6,89,0,0,0,1
27,33,30,3.8,89,1,0,0,1
26,35,28,3.7,89,0,0,0,1
25,35,28,3.7,89,0,0,0,1
27,33,28,3.7,89,5,1,2871460,1
26,36,27,3.7,89,2,1,3921000,1
26,33,29,3.7,89,1,1,3921000,1
27,34,28,3.6,89,1,1,3325000,1
28,37,26,3.6,89,1,4,2811460,1
25,33,29,3.7,89,2,0,0,1
25,32,29,3.8,89,1,0,0,1
26,35,29,3.8,89,1,0,537500,1
26,35,29,3.8,89,0,0,0,1
27,33,29,3.7,89,0,0,0,1
26,32,30,3.8,89,2,4,251000,1
26,33,29,3.7,89,2,6,251000,1
24,33,30,3.7,89,1,3,2916000,1
24,31,30,3.6,89,0,4,3512000,1
27,30,30,3.7,89,0,5,251000,1
21,33,29,3.7,89,2,5,2916460,1
26,32,30,3.6,89,1,4,251460,1
27,33,29,3.6,89,3,4,2511460,1
25,35,30,3.6,89,1,4,1171460,1
27,32,29,3.6,89,2,4,251460,1
26,35,29,3.8,89,2,4,251460,1
26,34,29,3.6,89,2,7,3019000,1
27,33,29,3.6,89,1,3,858960,1
23,36,29,3.7,89,2,5,251460,1
27,34,29,3.5,89,0,6,251460,1
25,33,30,3.7,89,2,3,251460,1
26,34,29,3.6,89,1,3,251460,1
26,35,30,3.8,89,1,2,251460,1
25,32,29,3.6,89,1,2,2411460,1
26,31,30,3.6,89,2,2,251460,1
28,36,30,3.6,89,2,4,2451460,1
27,35,28,3.7,89,4,3,588960,1
29,32,30,3.6,89,2,2,251460,1
26,35,29,3.8,89,3,2,251460,1
26,34,29,3.7,89,1,4,3717000,1
27,32,30,3.8,89,2,3,2411460,1
27,34,30,3.6,89,1,2,251460,1
27,34,29,3.6,89,2,2,251460,1
25,35,30,3.6,89,0,2,3717000,1
25,35,30,3.6,89,2,2,611460,1
26,34,29,3.7,89,1,3,2511460,1
25,34,30,3.8,89,1,3,3636000,1
24,35,29,3.6,89,3,2,2841460,1
26,29,29,3.8,89,1,2,3819000,1
27,32,27,3.7,89,3,2,3512460,1
23,33,30,3.6,89,1,4,251460,1
25,32,29,3.7,89,1,1,251460,1
25,34,29,3.7,88,4,6,2916460,2
26,33,30,3.6,88,3,6,958960,2
26,33,30,3.6,88,2,6,501460,2
27,32,30,3.6,88,2,6,2916460,2
26,33,29,3.7,88,1,1,251460,2
23,32,29,3.7,88,1,2,3325000,2
25,34,27,3.7,88,1,1,2561460,2
25,32,28,3.6,88,1,1,251460,2
25,35,28,3.7,88,1,1,251460,2
24,35,30,3.7,88,1,1,3325000,2
24,34,29,3.6,88,1,2,251460,2
26,31,29,3.7,88,1,3,251460,2
27,33,29,3.7,88,1,2,2611460,2
25,34,30,3.7,88,3,3,251460,2
25,35,29,3.6,88,2,5,251460,2
25,36,29,3.6,88,2,2,3921000,2
26,35,29,3.7,88,2,4,3921000,2
26,35,29,3.6,88,3,5,251460,2
26,35,29,3.5,88,3,3,3921000,2
26,34,30,3.6,88,2,2,1960460,2
26,34,28,3.7,88,1,3,3738000,2
24,35,30,3.6,88,1,1,958960,2
25,33,29,3.6,88,2,1,2921460,2
26,33,29,3.7,88,1,3,251460,2
25,33,30,3.7,88,3,6,251460,2
26,35,27,3.8,88,3,2,251460,2
26,34,30,3.6,88,1,1,3779460,2
25,35,28,3.5,88,1,1,501460,2
26,34,29,3.5,88,1,1,1258960,2
27,32,29,3.4,88,1,2,4188000,2
26,31,29,3.4,88,1,3,2093460,2
25,35,29,3.6,88,2,1,2871460,2
27,33,29,3.6,88,3,3,3071460,2
25,33,29,3.5,88,2,1,251460,2
25,35,27,3.6,88,2,2,1251460,2
24,35,29,3.7,88,1,1,1327460,2
26,34,29,3.6,88,1,1,2921460,2
25,33,30,3.6,88,1,2,958960,2
27,32,28,3.5,88,1,3,2744460,2
27,31,29,3.6,88,1,1,1960460,2
25,32,29,3.7,88,1,5,251460,2
27,32,28,3.7,88,1,5,2561460,2
22,30,25,3.7,88,1,3,1960460,2
25,29,29,3.8,88,1,6,2561460,2
26,30,29,3.7,88,1,3,3921000,2
27,29,29,3.7,88,2,3,958960,2
27,34,27,3.6,88,1,1,251460,2
27,35,27,3.6,88,2,1,3921000,2
27,32,29,3.7,88,1,0,958960,2
27,32,26,3.7,88,1,3,3325000,2
26,34,27,3.7,88,1,1,501460,2
27,33,28,3.6,88,0,1,3325000,2
25,35,28,3.6,88,2,2,3921000,2
26,33,30,3.5,88,1,2,3921000,2
25,35,28,3.5,88,1,2,3921000,2
24,35,29,3.5,88,1,2,251460,2
24,38,27,3.7,88,1,1,251460,2
24,34,30,3.6,88,3,3,251460,2
24,36,28,3.6,88,2,4,251460,2
25,35,28,3.6,88,2,5,2771460,2
25,34,29,3.6,88,2,1,3325000,2
25,34,28,3.5,88,2,1,251460,2
27,32,30,3.5,88,2,2,251460,2
26,34,29,3.7,88,1,1,3921000,2
25,35,29,3.6,88,1,3,251460,2
26,35,28,3.7,88,1,3,2561460,2
28,34,28,3.6,88,1,2,251460,2
25,34,30,3.6,88,1,2,5121000,2
26,34,29,3.6,88,1,2,3921000,2
25,33,30,3.7,88,2,2,251460,2
25,34,30,3.6,88,1,2,251460,2
25,34,29,3.6,88,1,2,3921000,2
25,35,28,3.7,88,1,2,3921000,2
26,33,29,3.6,88,1,3,251460,2
26,35,29,3.6,88,1,2,551460,2
26,35,28,3.6,88,1,2,0,2
26,34,29,3.7,88,1,3,1960460,2
25,36,28,3.7,88,1,2,251460,2
22,31,25,3.6,88,1,2,2561460,2
23,35,29,3.6,88,1,4,2771460,2
22,31,25,3.7,88,1,2,2561460,2
26,36,27,3.6,88,1,2,3325000,2
25,35,27,3.6,88,1,4,251460,2
25,35,28,3.6,88,1,2,2916460,2
26,35,26,3.6,88,1,2,251460,2
25,34,29,3.6,88,1,2,958960,2
28,31,30,3.8,88,1,1,3921000,2
28,31,29,3.6,88,1,2,3921000,2
27,33,28,3.6,88,1,3,3921000,2
26,33,29,3.6,88,1,2,3921000,2
28,33,27,3.7,88,1,2,1327460,2
25,34,29,3.6,88,1,2,251460,2
27,33,30,3.5,88,1,1,551460,2
27,34,30,3.7,88,1,1,3921000,2
26,35,26,3.7,88,1,1,3325000,2
24,35,29,3.8,88,1,1,3325000,2
25,35,30,3.8,88,1,1,2871460,2
25,33,29,3.7,88,1,2,251460,2
26,34,29,3.7,88,1,5,251460,2
26,33,29,3.6,88,1,6,501460,2
27,35,27,3.8,88,1,4,251460,2
26,35,28,3.7,88,1,2,251460,2
25,35,30,3.6,88,4,2,3325000,2
26,35,29,3.7,88,1,2,251460,2
25,33,29,3.6,88,2,8,2916460,2
25,35,28,3.5,88,3,4,1130460,2
26,34,29,3.6,88,1,3,251460,2
26,31,28,3.7,88,6,3,251460,2
25,32,30,3.6,88,1,1,1258960,2
26,32,30,3.5,88,1,1,958960,2
25,33,29,3.6,88,1,1,3921000,2
26,33,30,3.7,88,1,2,3921000,2
26,33,30,3.7,88,1,1,251460,2
25,34,30,3.7,88,2,3,3921000,2
26,33,28,3.7,88,1,1,251460,1
28,34,27,3.6,88,1,1,0,1
25,35,28,3.5,88,1,1,251460,1
24,38,27,3.7,88,2,1,1130460,1
27,33,29,3.7,88,1,2,3325000,1
26,34,28,3.6,88,1,2,251460,1
27,33,30,3.6,88,2,0,2080000,1
26,33,30,3.6,88,1,0,0,1
27,32,24,3.5,88,2,0,0,1
26,32,29,3.7,88,1,0,1076000,1
26,31,30,3.5,88,2,0,0,1
26,33,29,3.7,88,0,0,0,1
26,34,28,3.7,88,0,0,0,1
24,33,29,3.6,88,1,0,2750000,1
24,33,28,3.6,88,1,0,2130000,1
27,33,29,3.5,88,1,0,4023000,1
27,34,27,3.7,88,1,0,3427000,1
26,33,28,3.7,88,1,0,3427000,1
27,31,30,3.7,88,1,0,587500,1
25,35,29,3.6,88,2,0,3459000,1
25,33,30,3.5,88,1,0,1000000,1
26,34,27,3.5,88,1,0,0,1
27,32,29,3.6,88,1,0,0,1
26,33,29,3.6,88,1,0,2300000,1
27,35,28,3.6,88,0,0,0,1
23,32,26,3.7,88,0,0,0,1
26,35,27,3.7,88,0,0,0,1
26,33,30,3.6,88,0,0,0,1
24,38,27,3.7,88,2,1,1130460,1
26,34,28,3.6,88,1,2,251460,1
27,32,30,3.4,88,1,0,0,1
26,33,29,3.7,88,1,0,3427000,1
26,32,29,3.7,88,1,0,1076000,1
24,33,28,3.6,88,1,0,2130000,1
27,33,29,3.5,88,1,0,4023000,1
27,33,29,3.7,88,0,0,0,1
25,33,29,3.6,88,0,0,2489000,1
22,31,30,3.7,88,2,6,2611000,1
25,30,30,3.7,88,1,4,251000,1
24,35,29,3.7,88,1,5,1130450,1
23,36,29,3.7,88,1,6,251000,1
23,36,30,3.6,88,2,5,251000,1
25,34,29,3.4,88,3,4,251000,1
23,36,30,3.5,88,1,7,251000,1
23,34,29,3.5,88,4,4,251000,1
24,34,29,3.6,88,0,4,251000,1
25,32,30,3.6,88,1,6,2916000,1
26,34,28,3.5,88,1,3,251460,1
28,31,29,3.5,88,1,4,251460,1
24,32,29,3.6,88,1,3,251460,1
26,33,29,3.6,88,1,3,251460,1
25,33,29,3.4,88,1,5,251460,1
28,35,30,3.6,88,1,5,3615000,1
25,35,29,3.6,88,2,3,251460,1
25,35,29,3.5,88,2,5,251460,1
24,34,29,3.6,88,1,5,251460,1
26,34,29,3.6,88,2,3,251460,1
21,30,30,3.7,88,1,8,1583960,1
22,28,30,3.6,88,2,5,3019000,1
28,31,29,3.5,88,2,3,2671460,1
27,34,29,3.8,88,2,4,251460,1
26,35,29,3.6,88,2,5,3512460,1
28,27,30,3.5,88,1,3,251460,1
27,30,29,3.4,88,2,3,251460,1
26,33,29,3.6,88,2,2,251460,1
26,32,29,3.5,88,2,2,3717000,1
24,32,28,3.7,88,1,4,2411460,1
28,32,30,3.6,88,3,3,3121000,1
27,33,30,3.6,88,2,2,251460,1
24,34,30,3.6,88,3,2,2741460,1
26,33,27,3.6,88,1,2,251460,1
27,31,30,3.7,88,3,2,3512460,1
27,32,29,3.4,88,2,3,251460,1
27,33,29,3.6,88,2,2,2916460,1
27,32,29,3.7,88,1,2,251460,1
26,33,29,3.4,88,5,4,251460,1
25,33,29,3.6,88,1,2,2411460,1
26,33,30,3.6,88,1,3,2841460,1
25,34,29,3.5,87,2,5,3325000,2
25,32,29,3.5,87,1,2,251460,2
25,34,30,3.6,87,1,2,3325000,2
25,33,29,3.6,87,1,2,251460,2
25,32,30,3.5,87,1,1,2916460,2
25,34,29,3.6,87,1,1,2771460,2
24,34,29,3.6,87,1,2,251460,2
24,35,30,3.5,87,1,2,2271460,2
24,35,29,3.5,87,6,4,958960,2
26,35,26,3.5,87,1,1,251460,2
28,33,28,3.6,87,2,3,501460,2
24,33,29,3.6,87,3,1,501460,2
24,35,30,3.5,87,2,1,251460,2
25,34,29,3.6,87,3,1,2921460,2
24,34,29,3.5,87,4,2,2871460,2
25,33,29,3.5,87,3,2,251460,2
27,33,29,3.5,87,3,1,2561460,2
24,34,29,3.5,87,2,2,251460,2
24,35,29,3.6,87,2,2,3921000,2
25,33,29,3.5,87,2,1,3921000,2
25,33,29,3.3,87,2,3,3921000,2
24,34,29,3.5,87,1,1,2771460,2
24,34,29,3.5,87,1,1,3921000,2
24,34,29,3.5,87,2,2,251460,2
26,32,28,3.5,87,1,1,2744460,2
26,33,27,3.5,87,1,3,2871460,2
26,33,29,3.6,87,1,3,1960460,2
25,32,29,3.6,87,2,3,551460,2
27,30,28,3.5,87,1,4,3921000,2
26,31,29,3.6,87,1,5,251460,2
24,30,29,3.6,87,1,6,1960460,2
26,33,28,3.5,87,1,1,251460,2
24,35,28,3.5,87,1,1,3921000,2
27,35,26,3.5,87,1,1,1882460,2
27,34,28,3.5,87,1,2,251460,2
25,33,28,3.6,87,2,2,3071460,2
26,34,28,3.5,87,2,1,3921000,2
27,33,28,3.5,87,1,1,3921000,2
27,34,28,3.5,87,1,2,251460,2
26,33,29,3.5,87,1,1,251460,2
27,32,26,3.5,87,1,1,3325000,2
25,34,29,3.7,87,1,4,2871460,2
26,33,29,3.4,87,2,2,251460,2
25,35,27,3.5,87,1,4,251460,2
26,35,26,3.4,87,1,2,3921000,2
24,34,29,3.5,87,1,3,251460,2
25,34,28,3.6,87,2,3,3325000,2
23,36,29,3.5,87,1,5,251460,2
25,33,28,3.5,87,2,4,2561460,2
24,34,30,3.5,87,2,3,250000,2
25,34,29,3.5,87,3,1,958960,2
23,34,29,3.6,87,2,1,958960,2
27,32,27,3.4,87,2,1,3325000,2
26,32,28,3.5,87,2,7,251460,2
27,31,29,3.4,87,2,2,251460,2
26,32,29,3.5,87,2,1,3325000,2
24,36,29,3.5,87,1,2,3921000,2
25,33,30,3.5,87,0,3,2871460,2
26,33,29,3.5,87,1,2,251460,2
27,32,29,3.5,87,1,2,3921000,2
26,33,28,3.6,87,1,2,2871460,2
25,36,29,3.5,87,1,2,251460,2
26,34,29,3.4,87,1,2,3921000,2
26,35,29,3.4,87,1,2,3921000,2
24,34,29,3.5,87,1,2,251460,2
24,32,28,3.6,87,1,3,3325000,2
24,34,29,3.6,87,1,1,251460,2
23,33,29,3.5,87,1,2,251460,2
24,33,29,3.5,87,2,2,2771460,2
25,32,28,3.5,87,1,1,2287460,2
24,33,30,3.6,87,3,2,2916460,2
27,31,29,3.6,87,1,1,3921000,2
27,31,29,3.6,87,1,1,1229460,2
28,30,29,3.6,87,1,1,3921000,2
27,32,28,3.7,87,1,1,3921000,2
27,32,29,3.7,87,1,2,3921000,2
27,31,29,3.6,87,1,2,501460,2
26,33,30,3.5,87,1,1,958960,2
26,33,29,3.5,87,2,4,3921000,2
25,33,30,3.5,87,1,2,251460,2
26,32,30,3.5,87,1,1,3921000,2
26,33,30,3.6,87,1,2,2561460,2
26,33,30,3.4,87,1,2,3512460,2
27,33,29,3.4,87,1,3,3921000,2
25,33,29,3.5,87,1,1,3325000,2
23,34,29,3.6,87,1,1,251460,2
26,33,30,3.6,87,1,4,2871460,2
27,33,29,3.6,87,1,2,251460,2
26,34,28,3.6,87,1,2,251460,2
26,33,29,3.5,87,7,3,3325000,2
26,35,27,3.6,87,1,2,3325000,2
26,34,28,3.6,87,1,7,3325000,2
26,35,28,3.6,87,1,2,3325000,2
26,33,29,3.5,87,4,5,251460,2
25,34,29,3.6,87,1,7,2561460,2
24,36,29,3.6,87,1,2,251460,2
25,34,29,3.5,87,1,4,2861460,2
28,33,28,3.5,87,2,2,3325000,2
24,33,29,3.5,87,2,3,958960,2
25,34,29,3.6,87,1,3,1662460,2
25,34,29,3.5,87,1,4,3325000,2
26,33,28,3.5,87,2,2,251460,2
27,32,28,3.6,87,2,2,2911460,2
23,35,29,3.5,87,1,1,251460,2
25,37,28,3.4,87,1,2,3921000,2
26,35,28,3.5,87,3,0,2611460,1
25,34,28,3.6,87,2,1,3325000,1
27,34,27,3.4,87,1,1,4188000,1
25,35,27,3.5,87,1,1,0,1
24,33,28,3.4,87,2,3,3921000,1
26,35,25,3.5,87,3,1,251460,1
28,30,29,3.5,87,1,3,3921000,1
27,32,28,3.5,87,3,1,3921000,1
24,34,30,3.5,87,2,2,251460,1
26,33,29,3.7,87,0,2,251460,1
27,34,28,3.5,87,1,3,2771460,1
25,34,29,3.6,87,1,2,251460,1
25,34,29,3.5,87,1,0,3840000,1
25,33,30,3.3,87,1,0,3840000,1
25,34,27,3.6,87,1,0,2650000,1
25,34,28,3.6,87,3,0,3427000,1
25,33,28,3.4,87,3,0,2650000,1
24,35,27,3.5,87,1,0,1150000,1
25,31,30,3.5,87,2,0,4023000,1
28,35,23,3.3,87,1,0,0,1
24,32,29,3.6,87,3,0,0,1
27,33,27,3.5,87,1,0,0,1
26,32,30,3.6,87,1,0,4023000,1
23,29,27,3.5,87,2,0,2665000,1
23,34,29,3.6,87,0,0,637500,1
26,32,29,3.5,87,1,0,0,1
25,28,29,3.5,87,0,0,0,1
24,34,30,3.5,87,1,0,0,1
22,36,27,3.6,87,1,0,0,1
26,33,29,3.5,87,1,0,0,1
26,28,29,3.6,87,1,0,0,1
27,32,28,3.7,87,2,0,4023000,1
26,32,29,3.5,87,0,0,3261000,1
27,32,29,3.6,87,1,0,2665000,1
26,34,27,3.6,87,1,0,1076000,1
27,35,26,3.6,87,2,0,0,1
25,32,29,3.6,87,1,0,587500,1
25,31,29,3.5,87,1,0,3642000,1
25,33,29,3.6,87,4,0,0,1
26,33,29,3.7,87,1,0,0,1
26,33,28,3.6,87,1,0,587500,1
28,32,29,3.5,87,0,0,0,1
26,30,29,3.5,87,0,0,0,1
25,34,27,3.5,87,0,0,0,1
26,33,28,3.5,87,1,0,2687000,1
26,34,26,3.5,87,1,0,0,1
24,34,29,3.5,87,0,0,0,1
26,32,30,3.6,87,1,0,0,1
25,33,28,3.5,87,0,0,0,1
25,35,27,3.5,87,1,1,0,1
26,33,29,3.4,87,1,3,251460,1
26,35,28,3.5,87,1,1,1229460,1
26,35,25,3.5,87,3,1,251460,1
24,33,29,3.6,87,2,2,3325000,1
24,34,30,3.5,87,2,2,251460,1
26,32,29,3.5,87,4,1,3921000,1
25,34,29,3.5,87,1,0,3840000,1
25,33,30,3.3,87,1,0,3840000,1
26,32,30,3.6,87,1,0,4023000,1
23,29,27,3.5,87,2,0,2665000,1
25,28,29,3.5,87,0,0,0,1
